Product_name,Prices,Description,Reviews,CPU,RAM,OS,Storage,Display,Warranty,doc
DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,41990.0,"AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMy Dell (Dell Power Manager,Dell Support Assist)1 Year Onsite Warranty",4.2,AMD Ryzen 5 Hexa Core,16 GB,Windows 11,16 GB DDR4 RAMWindows 11 Operating System512 GB SSD,39.62 cm,1 Year,"dell 15 amd ryzen 5 hexa core 7530u - (16 gb/512 gb ssd/windows 11 home) 3535 thin and light laptop amd ryzen 5 hexa core 16 gb 16 gb ddr4 ramwindows 11 operating system512 gb ssd ₹41990.0 amd ryzen 5 hexa core processor16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaymy dell (dell power manager,dell support assist)1 year onsite warranty"
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0154AU Thin and Ligh...,29990.0,AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2,AMD Ryzen 3 Quad Core,8 GB,Windows 11,8 GB DDR4 RAMWindows 11 Operating System512 GB SSD,39.62 cm,1 Year,hp 15 (2024) amd ryzen 3 quad core 7320u - (8 gb/512 gb ssd/windows 11 home) 15-fc0154au thin and ligh... amd ryzen 3 quad core 8 gb 8 gb ddr4 ramwindows 11 operating system512 gb ssd ₹29990.0 amd ryzen 3 quad core processor8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ323WS Thin...,35990.0,Intel Core i3 Processor (13th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.5,Intel Core i3,8 GB,Windows 11,8 GB DDR4 RAMWindows 11 Operating System512 GB SSD,39.62 cm,1 Year,asus vivobook 15 intel core i3 13th gen 1315u - (8 gb/512 gb ssd/windows 11 home) x1504va-nj323ws thin... intel core i3 8 gb 8 gb ddr4 ramwindows 11 operating system512 gb ssd ₹35990.0 intel core i3 processor (13th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
SAMSUNG Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,51990.0,Intel Core i5 Processor (13th Gen)16 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,4.2,Intel Core i5,16 GB,Windows 11,16 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD,39.62 cm,1 Year Manufacturer,samsung galaxy book4 metal intel core i5 13th gen 1335u - (16 gb/512 gb ssd/windows 11 home) np750xgj-... intel core i5 16 gb 16 gb lpddr4x ramwindows 11 operating system512 gb ssd ₹51990.0 intel core i5 processor (13th gen)16 gb lpddr4x ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year manufacturer warranty for laptop and 6 months for in-box accessories
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ527WS|X150...,40990.0,Intel Core i5 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2,Intel Core i5,8 GB,Windows 11,8 GB DDR4 RAMWindows 11 Operating System512 GB SSD,39.62 cm,1 Year,asus vivobook 15 intel core i5 12th gen 1235u - (8 gb/512 gb ssd/windows 11 home) x1504za-nj527ws|x150... intel core i5 8 gb 8 gb ddr4 ramwindows 11 operating system512 gb ssd ₹40990.0 intel core i5 processor (12th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) 82XD003MIN Thin and ...,66490.0,Intel Core i5 Processor (13th Gen)16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 inch) Display1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection,3.8,Intel Core i5,16 GB,Windows 11,16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD,35.56 cm,No Warranty,lenovo ideapad slim 5 intel core i5 13th gen - (16 gb/512 gb ssd/windows 11 home) 82xd003min thin and ... intel core i5 16 gb 16 gb lpddr5 ramwindows 11 operating system512 gb ssd ₹66490.0 intel core i5 processor (13th gen)16 gb lpddr5 ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) display1yr warranty + 1 yr premium care and 1 yr accidental damage protection
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,14990.0,Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Home Operating System128 GB SSD29.46 cm (11.6 inch) Display1 Year Warranty,4.4,Intel Celeron Dual Core,8 GB,Windows 11,8 GB DDR4 RAM64 bit Windows 11 Home Operating System128 GB SSD,29.46 cm,1 Year,acer aspire 3 intel celeron dual core - (8 gb/128 gb ssd/windows 11 home) a311-45 thin and light lapto... intel celeron dual core 8 gb 8 gb ddr4 ram64 bit windows 11 home operating system128 gb ssd ₹14990.0 intel celeron dual core processor8 gb ddr4 ram64 bit windows 11 home operating system128 gb ssd29.46 cm (11.6 inch) display1 year warranty
ASUS Expertbook P1 Intel Core i7 13th Gen 13620H - (32 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60940W...,68990.0,"Intel Core i7 Processor (13th Gen)32 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home 2024, Microsoft 365 Basic1 Year Onsite Warranty",4.2,Intel Core i7,32 GB,Windows 11,32 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD,35.56 cm,1 Year,"asus expertbook p1 intel core i7 13th gen 13620h - (32 gb/512 gb ssd/windows 11 home) p1403cva-s60940w... intel core i7 32 gb 32 gb ddr5 ramwindows 11 home operating system512 gb ssd ₹68990.0 intel core i7 processor (13th gen)32 gb ddr5 ramwindows 11 home operating system512 gb ssd35.56 cm (14 inch) displaymicrosoft office home 2024, microsoft 365 basic1 year onsite warranty"
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ321WS Th...,28990.0,AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2,AMD Ryzen 3 Quad Core,8 GB,Windows 11,8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD,39.62 cm,1 Year,asus vivobook go 15 amd ryzen 3 quad core 7320u - (8 gb/512 gb ssd/windows 11 home) e1504fa-nj321ws th... amd ryzen 3 quad core 8 gb 8 gb lpddr5 ramwindows 11 operating system512 gb ssd ₹28990.0 amd ryzen 3 quad core processor8 gb lpddr5 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ320WS Thin...,34990.0,Intel Core i3 Processor (13th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite warranty,4.2,Intel Core i3,8 GB,Windows 11,8 GB DDR4 RAMWindows 11 Operating System512 GB SSD,39.62 cm,1 Year,asus vivobook 15 intel core i3 13th gen 1315u - (8 gb/512 gb ssd/windows 11 home) x1504va-nj320ws thin... intel core i3 8 gb 8 gb ddr4 ramwindows 11 operating system512 gb ssd ₹34990.0 intel core i3 processor (13th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
